condition,variant,size,h_plan,lam,t_reeval,n_seeds,scr,fht,dead_loop_rate,new_states_per_step,success_rate,pe_nav,pe_search,pe_acquire,dscr_vs_flat,dfht_vs_flat,dscr_vs_random,dfht_vs_random
layered_lam0_h50_t10,B,15,50,0.0,10,12,0.3115,106.38,0.1652,0.709,0.6667,0.9345,0.9491,0.8753,0.0944,,-0.0204,-162.62
layered_lam0_h50_t25,B,15,50,0.0,25,12,0.3115,106.75,0.1649,0.7078,0.6667,0.9345,0.9468,0.8753,0.0944,,-0.0204,-162.25
layered_lam0_h50_tnever,B,15,50,0.0,,12,0.3115,109.12,0.1631,0.701,0.6667,0.9348,0.8723,0.8753,0.0944,,-0.0204,-159.88
layered_lam1_h100_t10,B,15,100,1.0,10,12,0.4489,173.44,0.1937,0.7339,0.75,0.9342,1.0,0.8753,0.2319,,0.117,-95.56
layered_lam1_h100_t25,B,15,100,1.0,25,12,0.4489,173.44,0.1937,0.7339,0.75,0.9342,1.0,0.8753,0.2319,,0.117,-95.56
layered_lam1_h100_tnever,B,15,100,1.0,,12,0.4489,173.44,0.1937,0.7339,0.75,0.9342,1.0,0.8753,0.2319,,0.117,-95.56
layered_lam1_h20_t10,B,15,20,1.0,10,12,0.3585,115.56,0.1873,0.7823,0.75,0.9036,0.9945,0.8753,0.1415,,0.0267,-153.44
layered_lam1_h20_t25,B,15,20,1.0,25,12,0.3596,116.67,0.1868,0.7805,0.75,0.9034,0.9945,0.8753,0.1426,,0.0278,-152.33
layered_lam1_h20_tnever,B,15,20,1.0,,12,0.3596,116.67,0.1868,0.7805,0.75,0.9034,0.9945,0.8753,0.1426,,0.0278,-152.33
layered_lam1_h50_t10,B,15,50,1.0,10,12,0.3448,106.33,0.1941,0.7793,0.75,0.9313,1.0,0.8753,0.1278,,0.013,-162.67
layered_lam1_h50_t25,B,15,50,1.0,25,12,0.3448,106.33,0.1941,0.7793,0.75,0.9313,1.0,0.8753,0.1278,,0.013,-162.67
layered_lam1_h50_tnever,B,15,50,1.0,,12,0.3448,106.33,0.1941,0.7793,0.75,0.9313,1.0,0.8753,0.1278,,0.013,-162.67
